filename,ground_truth,deepgram_transcript,deepgram_latency,deepgram_confidence,deepgram_status,whisper_base_transcript,whisper_base_latency,whisper_base_status,whisper_small_transcript,whisper_small_latency,whisper_small_status,google_transcript,google_latency,google_confidence,google_status
01_indiranagar_normal.ogg,Haan main Indiranagar mein rehta hoon,"हां, मैं इंदिरा नगर में रहता हूं.",4.151456594467163,0.9404297,success,आमि हि�黃न Đ рец má referenced,21.289398908615112,success,अपने अदरा नगर में रहता हूँ,3.486603260040283,success,"हां, मैं इंदिरा नगर में रहता हूं।",1.7195651531219482,0.8722123503684998,success
02_koramangala_normal.ogg,Main Koramangala mein hoon,मैं कोरमंगला में रहता हूं.,4.685288906097412,0.97314453,success,ny самого,4.662338733673096,success,मैं कुर मंगला मैं रेता हूं,3.250514507293701,success,मैं कोरमंगला में रहता हूं।,1.3690595626831055,0.944778561592102,success
03_whitefield_normal.ogg,Mera ghar Whitefield mein hai,मेरा घर Whitefield में है.,1.9694757461547852,0.9980469,success,میرا گھر وائٹسیل میں ہے,1.7045691013336182,success,मेरा गर वाईशिल्ड में है,3.23825740814209,success,मेरा घर व्हाइटफील्ड में है।,1.3897347450256348,0.9279074668884277,success
04_electronic_city_normal.ogg,Main Electronic City mein rehta hoon,मैं इलेक्ट्रॉनिक city में रहता हूं.,1.173060655593872,1.0,success,yo going to set the as well ok ok illeconic city i'm a relish illeconic city illeconic city illeconic city illeconic city ok,11.235403299331665,success,मैं अलेक्त्रूनिक सिटी में रहता हूँ,3.752835273742676,success,मैं इलेक्ट्रॉनिक सिटी में रहता हूं।,1.406909704208374,0.9517943859100342,success
05_marathahalli_normal.ogg,Mera ghar Marathahalli mein hai,मेरा घर मराठा हाली में है.,4.618618011474609,0.9980469,success,میرا گھر مراطہ اللی میں ہے,1.1225616931915283,success,मेरा गर मराटा हली में है,2.989180326461792,success,मेरा घर मराठाहली में है।,1.392791986465454,0.9018230438232422,success
06_jayanagar_normal.ogg,Main Jayanagar side hoon,मैं जयनगर side हूं.,1.1944949626922607,0.98095703,success,میں جیہ نگر سائد ہوں.,0.9340522289276123,success,मैं जैया नगर साइड हूं,3.1848368644714355,success,मैं जयानगर साइड हूं।,1.3083794116973877,0.8710859417915344,success
07_rajajinagar_normal.ogg,Mera ghar Rajajinagar mein hai,मेरा घर राजाजीनगर में है.,1.3585350513458252,1.0,success,میرا گر راجہ جی نگر میں ہے,0.9445431232452393,success,मेरा गर राजा जी नगर में है,3.3329918384552,success,मेरा घर राजाजी नगर में है।,1.5182616710662842,0.778582751750946,success
08_hebbal_normal.ogg,Main Hebbal ke paas rehta hoon,मैं हेबल के पास रहता हूं.,0.9484307765960693,1.0,success,میں حبل کے پاس رہتا ہوں,0.829481840133667,success,मैं हेबल के पास रहता हूँ,3.2265214920043945,success,मैं हेबल के पास रहता हूं।,1.2958588600158691,0.8945208191871643,success
09_yelahanka_normal.ogg,Main Yelahanka side hoon,मैं यह line का side हूं.,0.9852778911590576,0.9951172,success,میں یہ لانکہ سائد ہو.,0.8245601654052734,success,मैं येला हंका साईद हूँ,3.112320899963379,success,मैं यह लहंगा साइड हूं।,1.420320987701416,0.9402612447738647,success
10_banashankari_normal.ogg,Mera ghar Banashankari mein hai,मेरा घर बना संक्री में है,12.269218444824219,0.9980469,success,میرا گھر بنا سنگری میں ہے,1.028747320175171,success,मेरा गर बना संक्री में है,3.1566267013549805,success,मेरा घर बनाशंकरी में है।,1.1475751399993896,0.9453169703483582,success
11_hsr_layout_normal.ogg,Main HSR Layout mein rehta hoon,मैं hsr layout में रहता हूं.,4.703847169876099,0.9980469,success,izations,15.630266189575195,success,मैं HSH-R लेयाउत में रहता हूँ,3.6632602214813232,success,मैं एचएसआर लेआउट में रहता हूं।,1.4630753993988037,0.9448869824409485,success
12_btm_layout_normal.ogg,Office mera BTM Layout mein hai,Office मेरा video में है,29.070452451705933,0.8569336,success,OFFICE MaR AY B TM layout mA,5.100757360458374,success,अफिस मेरा बीटिम लेयाूट में है,3.6173462867736816,success,ऑफिस मेरा बीटीएम लेआउट में है।,1.2659635543823242,0.9446950554847717,success
13_majestic_normal.ogg,Main Majestic area mein hoon,मैं magictic area में हूं.,1.0224378108978271,0.9970703,success,मैं बाजस्तिक वर्या में हुं,8.463007688522339,success,मैं माजिस्टिक और्या में हूं,3.25968861579895,success,मैं मैजिस्टिक एरिया में हूं।,1.1735379695892334,0.8906129598617554,success
14_silk_board_normal.ogg,Main Silk Board ke paas rehta hoon,मैं सिल्क board के पास रहता हूं.,1.6658084392547607,0.9970703,success,rows,16.406384468078613,success,मैं सिल्क बोड के पास रहता हूं,3.411726474761963,success,मैं सिल्क बोर्ड के पास रहता हूं।,1.227843999862671,0.891865611076355,success
15_bellandur_normal.ogg,Mera ghar Bellandur mein hai,मेरा घर बेलन दूर में है.,0.9253988265991211,0.99902344,success,میرا گھر بھلم دور میں ہے,0.89178466796875,success,मेरा गर बेलन दूर मेहाँ,3.1602535247802734,success,मेरा घर बेलन दूर में है।,1.346909523010254,0.8343504071235657,success
16_sarjapur_normal.ogg,Main Sarjapur side hoon,मैं शारजाहपुर side हूं,1.4282166957855225,0.9902344,success,میں سارجا پر سائد ہوں,0.880871057510376,success,मैं सार्जापृर साईद हूँ,3.316638469696045,success,मैं शाजापुर साइड हूं।,1.246530294418335,0.8198074102401733,success
17_bommanahalli_normal.ogg,Main Bommanahalli mein rehta hoon,मैं बमन हल्दी side रहता हूं.,2.864086627960205,0.9921875,success,मہاں بمان حلی سائر رہتا ہوں,1.0691711902618408,success,मैं बमन हली साईर रहता हो,3.2831180095672607,success,मैं बा मंहल्ली साइड रहता हूं।,1.2777798175811768,0.7393487095832825,success
18_kr_puram_normal.ogg,Mera ghar KR Puram mein hai,मेरा घर KR पुरम में है,1.1997838020324707,0.98095703,success,میرا گھر کےயر پورم میں ہے,1.0477564334869385,success,मेरा गर के आर पूरम में है,3.240670919418335,success,मेरा घर के आर पुरम में है।,1.3594951629638672,0.8298539519309998,success
19_peenya_normal.ogg,Main Peenya area mein hoon,मैं पीलिया area में रहता हूं.,2.0575156211853027,1.0,success,पिन्या एर्या मेरे ता हुन,3.322770833969116,success,मैं पीन्या एर्या में रहता हूं,3.6707708835601807,success,मैं पूनिया एरिया में रहता हूं।,1.214106559753418,0.7958120703697205,success
20_yeshwanthpur_normal.ogg,Main Yeshwanthpur mein rehta hoon,मैं यशवंतपुर में रहता हूं.,0.8928840160369873,0.99902344,success,Kash Putin,6.059706449508667,success,मैं ये स्वन्ट्पूर मेरे दाता हूँ,4.060193300247192,success,मैं यशवंतपुर में रहता हूं।,1.366915225982666,0.9436089396476746,success
21_indiranagar_metro_phone.ogg,Haan main Indiranagar mein rehta hoon,मेरा घर इंदिरा नगर में है.,1.8881230354309082,0.73339844,success,"Νراظ 다, reversal渣, Ohio",14.688063383102417,success,नेरा सर इंद्राना कर्माः,3.225964307785034,success,मेरा घर इंदिरा नगर में है।,1.3376033306121826,0.8107619285583496,success
22_whitefield_metro_phone.ogg,Mera ghar Whitefield mein hai,मैं white field site रहता हूं.,1.3584225177764893,0.72802734,success,ults,4.118936538696289,success,नाया वाईट फिल सावट रद ताम।,4.490371465682983,success,मैं वॉइस फिल्साइट रहता हूं।,2.1028497219085693,0.7386376261711121,success
23_koramangala_metro_phone.ogg,Main Koramangala mein hoon,हां मैं कोरबण्डला में रहता हूं.,1.012838363647461,0.97802734,success,4. 4. 4.,2.493547201156616,success,अमने पुर मणला मेरे दाहता हूँ,4.018261671066284,success,"हां, मैं 4 बांग्ला में रहता हूं।",1.4234404563903809,0.8455357551574707,success
24_electronic_city_metro_phone.ogg,Main Electronic City mein rehta hoon,,2.2234201431274414,0.0,success,Electronics Trismets were aノ,4.167114019393921,success,अग्ट्रोनिच्टो में काम करता हूँ,3.866809606552124,success,इलेक्ट्रॉनिक सिटी में काम करता हूं।,1.3012418746948242,0.8534080386161804,success
25_marathahalli_metro_phone.ogg,Mera ghar Marathahalli mein hai,मेरा घर मराठा हल्दी महल.,1.1930017471313477,0.7817383,success,呦,22.911808967590332,success,मेरा गर मराटा अली महार,3.0603694915771484,success,बैरागढ़ मराठाहली महल।,1.5646462440490723,0.5412405729293823,success
26_jayanagar_metro_phone.ogg,Main Jayanagar side hoon,मैं जयनगर के पास रहता हूं.,1.5554311275482178,0.99902344,success,مجھا نگر کے پاس رہتا ہوں,0.9484670162200928,success,मैं जा नगर के पास रहता हूँ,3.3115036487579346,success,मजा नगर के पास रहता हूं।,1.3350558280944824,0.8021277785301208,success
27_rajajinagar_metro_phone.ogg,Mera ghar Rajajinagar mein hai,मेरा घर राजा जी नगर में है.,1.563993215560913,0.8491211,success,वे यह तर वाजाजी नए वर मैं हैं,1.527116060256958,success,मेरा देर राजा जीन अगर मैं हैं,3.551199436187744,success,मेरा घर राजाजी नगर में है।,1.4125123023986816,0.6966259479522705,success
28_hebbal_metro_phone.ogg,Main Hebbal ke paas rehta hoon,मैं double side हूं.,1.2513823509216309,0.8071289,success,"Man, it was hard home.",1.4036495685577393,success,बाई नेवर सावट वो,2.948990821838379,success,मैंने वलसाड हूं।,1.2130179405212402,0.5779740214347839,success
29_yelahanka_metro_phone.ogg,Main Yelahanka side hoon,मैं यहलाहंका में रहता हूं.,2.2492804527282715,0.86035156,success,Ramen,9.36579942703247,success,मैं ये लाजन कामेरे ताः ये,3.3443286418914795,success,मैं यह लहंगा में रहता है।,1.2421348094940186,0.7860062718391418,success
30_banashankari_metro_phone.ogg,Mera ghar Banashankari mein hai,मेरा घर बनासंत्री में है.,1.080960750579834,0.9892578,success,میرا گر بنا سنپری میرا ہے,1.041146993637085,success,मेरा गर बना संप्री मेहाँ,3.278355836868286,success,मेरा घर बन आसान तरीका है।,1.34214186668396,0.5486215353012085,success
31_hsr_layout_metro_phone.ogg,Main HSR Layout mein rehta hoon,Office मेरा BTM layout में है.,2.1228702068328857,0.90722656,success,สองfal searching,4.523144245147705,success,अफिस मेरा बिल्टिया में लेए वो तुमें है,4.134413242340088,success,ऑफिस मेरा बीटीएम लेआउट में है।,1.434995174407959,0.9405656456947327,success
